BuildingNumber,BuildingName,FullAddress,Agency,Phone,Fax,Address,City,State,ZipCode,Latitude,Longitude,Region
55.0,56.0,"2550 WEST OAKLAND PARK BOULEVARD, FORT LAUDERDALE, FL, 33311.0",VETS,"(954)-677-5818



",(954)-677-5816,2550 WEST OAKLAND PARK BOULEVARD,FORT LAUDERDALE,FL,33311.0,26.164934,-80.1770559,
56.0,57.0,"38500 U.SOUTH HIGHWAY 19 NORTH, NORTH PALM HARBOR, FL, 34684.0",VETS,"



",(727)-324-2855,38500 U.SOUTH HIGHWAY 19 NORTH,NORTH PALM HARBOR,FL,34684.0,28.1214648,-82.7401433,
57.0,58.0,"13805 58TH STREET NORTH, CLEARWATER, FL, 33760.0",VETS,"(727)-328-3355



",(727)-328-3392,13805 58TH STREET NORTH, CLEARWATER,FL,33760.0,27.8974251,-82.7114511,
58.0,59.0,"400 WEST BAY STREET, JACKSONVILLE, FL, 32202.0",OWCP,"(904)-357-4776



",,400 WEST BAY STREET,JACKSONVILLE,FL,32202.0,30.3269298,-81.6637258,
59.0,60.0,"ONE EAST BROWARD BOULEVARD, FORT LAUDERDALE, FL, 33301.0",OLMS,"(954)-356-6850



",(954)-356-6852,ONE EAST BROWARD BOULEVARD, FORT LAUDERDALE,FL,33301.0,26.1227632,-80.143212,
60.0,61.0,"500 ZACK STREET, TAMPA, FL, 3360.0",OLMS,"(813)-228-2031



",(813)-228-2032,500 ZACK STREET,TAMPA,FL,3360.0,27.9508739,-82.4569026,
61.0,62.0,"61 FORSYTH ST, SOUTH WEST, ATLANTA, GA, 30303.0","OPA, OALJ, WB, BLS, WHD, OFCCP, OLMS, OWCP, ETA, OA, JC, MSHA, OASAM, OIG, OSHA, EBSA, SOL, VETS","(404)-302-3900



",(404)-302-3975,"61 FORSYTH ST, SOUTH WEST",ATLANTA,GA,30303.0,33.7530289,-84.3933404,
62.0,63.0,"2183 NORTH LAKE PARKWAY, BUILDING 7, TUCKER, GA, 30084.0",OSHA,"(770)-493-6644



",(770)-493-7725,2183 NORTH LAKE PARKWAY,TUCKER,GA,30084.0,33.8481597,-84.2450644,
63.0,64.0,"2400 HERODIAN WAY, SMYRNA, GA, 30080.0",OSHA,"(770)-984-8700



",(770)-984-8855,2400 HERODIAN WAY, SMYRNA,GA,30080.0,33.8942146,-84.4734785,
64.0,65.0,"450 MALL BOULEVARD, SAVANNAH, GA, 31406.0",OSHA,"(912)-652-4393



",(912)-652-4329,450 MALL BOULEVARD, SAVANNAH,GA,31406.0,32.0034392,-81.1105199,
65.0,66.0,"124 BARNARD STREET, SAVANNAH, GA, 31401.0",WHD,"(912)-652-4221



",,124 BARNARD STREET, SAVANNAH,GA,31401.0,32.0782409,-81.0940563,
66.0,67.0,"463 COMMERCE PARK DRIVE, MARIETTA, GA, 30060.0",VETS,"(770)-528-8065



",,463 COMMERCE PARK DRIVE, MARIETTA,GA,30060.0,33.9400449,-84.5307138,
67.0,68.0,"300 ALA MOANA BOULEVARD, HONOLULU, HI, 96850.0","WHD, OLMS","(808)-541-1361



",,300 ALA MOANA BOULEVARD,HONOLULU,HI,96850.0,21.303405,-157.8617926,
68.0,69.0,"830 PUNCHBOWL STREET, HONOLULU, HI, 96813.0",VETS,"(808)-522-8216



",(808)-586-9258,830 PUNCHBOWL STREET,HONOLULU,HI,96813.0,21.3041532,-157.8610278,
69.0,70.0,"1150 NORTH CURTIS ROAD, BOISE, ID, 83706.0",OSHA,"(208)-321-2960



",(208)-321-2966,1150 NORTH CURTIS ROAD, BOISE,ID,83706.0,43.6147398,-116.2525069,
70.0,71.0,"317 WEST MAIN STREET, BOISE, ID, 83702.0",VETS,"



",(208)-334-6389,317 WEST MAIN STREET, BOISE,ID,83702.0,43.6127139,-116.198365,
71.0,72.0,"230 SOUTH DEARBORN STREET, CHICAGO, IL, 60604.0","OPA, OALJ, WB, BLS, WHD, OFCCP, OLMS, OWCP, ETA, OA, JC, MSHA, OASAM, OIG, OSHA, EBSA, SOL, VETS","(312)-353-2220



",(312)-353-7774,230 SOUTH DEARBORN STREET,CHICAGO,IL,60604.0,41.8784148,-87.6298137,
72.0,73.0,"200 WEST ADAMS STREET, CHICAGO, IL, 60606.0",EBSA,"(312)-353-0900



",(312)-353-1023,200 WEST ADAMS STREET, CHICAGO,IL,60606.0,41.8796875,-87.6343426,
73.0,74.0,"1600 167TH STREET, CALUMET CITY, IL, 60409.0",OSHA,"(708)-891-3800



",(708)-862-9659,1600 167TH STREET, CALUMET CITY,IL,60409.0,41.5869824,-87.5609356,
74.0,75.0,"701 LEE STREET, STE 950, DES PLAINES, IL, 60016.0",OSHA,"(847)-803-4800



",(847)-390-8220,701 LEE STREET,DES PLAINES,IL,60016.0,42.0403857,-87.8884563,
75.0,76.0,"11 EXECUTIVE DRIVE, FAIRVIEW HEIGHTS, IL, 62208.0",OSHA,"(618)-632-8612



",(618)-632-5712,11 EXECUTIVE DRIVE, FAIRVIEW HEIGHTS,IL,62208.0,38.6010306,-89.9789088,
76.0,77.0,"365 SMOKE TREE PLAZA, NORTH AURORA, IL, 60542.0",OSHA,"(630)-896-8700



",(630)-892-2160,365 SMOKE TREE PLAZA,NORTH AURORA,IL,60542.0,41.8061399,-88.3272952,
77.0,78.0,"1320 WEST COMMERCE DRIVE, PEORIA, IL, 61615.0",OSHA,"(309)-589-7033



",,1320 WEST COMMERCE DRIVE,PEORIA,IL,61615.0,40.800938,-89.612891,
78.0,79.0,"3161 WEST WHITE OAKS DRIVE, SPRINGFIELD, IL, 62704.0",WHD,"(217)-793-5028



",,3161 WEST WHITE OAKS DRIVE, SPRINGFIELD,IL,62704.0,39.7598214,-89.7097772,
79.0,80.0,"33 SOUTH STATE STREET, 8TH FLOOR, CHICAGO, IL, 60603.0",VETS,"(312)-793-3433



",(312)-793-4795,33 SOUTH STATE STREET,CHICAGO,IL,60603.0,41.8811838,-87.6274898,
80.0,81.0,"800 LANCER LANE, GRAYSLAKE, IL, 60030.0",OIG,"(847)-543-7400



",(847)-543-7465,800 LANCER LANE, GRAYSLAKE,IL,60030.0,42.3596084,-88.0112953,
81.0,82.0,"46 EAST OHIO STREET, INDIANAPOLIS, IN, 46204.0",OSHA,"(317)-226-7290



",(317)-226-7292,46 EAST OHIO STREET,INDIANAPOLIS,IN,46204.0,39.7703387,-86.1565602,
82.0,83.0,"46 EAST OHIO STREET, INDIANAPOLIS, IN, 46204.0",WHD,"(317)-226-6801



",,46 EAST OHIO STREET,INDIANAPOLIS,IN,46204.0,39.7703387,-86.1565602,
83.0,84.0,"2420 VIRIDIAN DRIVE, SOUTH BEND, IN, 46628.0",WHD,"(574)-236-8331



",,2420 VIRIDIAN DRIVE, SOUTH BEND,IN,46628.0,41.7106487,-86.2947093,
84.0,85.0,"10 NORTH SENATE AVENUE, INDIANAPOLIS, IN, 46204.0",VETS,"(317)-232-6805



",(317)-233-5720,10 NORTH SENATE AVENUE,INDIANAPOLIS,IN,46204.0,39.767623,-86.164142,
85.0,86.0,"2300 WILLOW STREET, VINCENNES, IN, 47591.0",MSHA,"(812)-882-7617



",,2300 WILLOW STREET, VINCENNES,IN,47591.0,38.657403,-87.5302768,
86.0,87.0,"210 WALNUT STREET, ROOM 815, DES MOINES, IA, 50309.0","OSHA, WHD","(515)-284-4794



",(515)-284-4058,210 WALNUT STREET,DES MOINES,IA,50309.0,41.5863408,-93.6200909,
87.0,88.0,"430 EAST GRAND AVENUE, DES MOINES, IA, 50309.0",VETS,"(515)-281-9061



",(515)-281-9063,430 EAST GRAND AVENUE,DES MOINES,IA,50309.0,41.590811,-93.612223,
88.0,89.0,"271 WEST 3RD STREET, NORTH WICHITA, KS, 67202.0","EBSA, OSHA","(316)-269-6644



",(316)-269-6185,271 WEST 3RD STREET,NORTH WICHITA,KS,67202.0,37.69117,-97.339982,
89.0,90.0,"400 STATE AVENUE, KANSAS CITY, KS, 66101.0",VETS,"(913)-551-5721



",,400 STATE AVENUE, KANSAS CITY,KS,66101.0,39.117372,-94.618262,
90.0,91.0,"900 SOUTH WEST JACKSON, TOPEKA, KS, 66612.0",VETS,"(785)-296-5032



",,900 SOUTH WEST JACKSON, TOPEKA,KS,66612.0,39.04776,-95.676616,
91.0,92.0,"1885 DIXIE HWY, FORT WRIGHT, KY, 41011.0",EBSA,"(859)-578-4680



",(859)-578-4688,1885 DIXIE HWY,FORT WRIGHT,KY,41011.0,39.0575375,-84.5429981,
92.0,93.0,"330 WEST BROADWAY, FRANKFORT, KY, 40601.0",OSHA,"(502)-227-7024



",(502)-227-2348,330 WEST BROADWAY,FRANKFORT,KY,40601.0,38.2007836,-84.8775554,
93.0,94.0,"332 WEST BROADWAY, LOUISVILLE, KY, 40202.0",WHD,"



",,332 WEST BROADWAY, LOUISVILLE,KY,40202.0,38.2457868,-85.7580405,
94.0,95.0,"275 EAST MAIN STREET, FRANKFORT, KY, 40621.0",VETS,"(502)-564-7062



",(502)-564-1476,275 EAST MAIN STREET,FRANKFORT,KY,40621.0,38.1974157,-84.8612337,
95.0,96.0,"100 FAE RAMSEY LANE, PIKEVILLE, KY, 41501.0",MSHA,"(606)-432-0943



",,100 FAE RAMSEY LANE,PIKEVILLE,KY,41501.0,37.5230383,-82.5699108,
96.0,97.0,"3837 SOUTH US HIGHWAY, 25E, BARBOURVILLE, KY, 40906.0",MSHA,"(606)-546-5123



",,3837 SOUTH US HIGHWAY,BARBOURVILLE,KY,40906.0,36.8688208,-83.8396897,
97.0,98.0,"100 YMCA DRIVE, MADISONVILLE, KY, 42431.0",MSHA,"



",,100 YMCA DRIVE,MADISONVILLE,KY,42431.0,37.3556723,-87.4965139,
98.0,99.0,"9100 BLUEBONNET CENTRE BOULEVARD, BATON ROUGE, LA, 70809.0",OSHA,"(225)-298-5458



",(225)-298-5457,9100 BLUEBONNET CENTRE BOULEVARD, BATON ROUGE,LA,70809.0,30.3972319,-91.0867646,
99.0,100.0,"600 SOUTH MAESTRI PLACE, NEW ORLEANS, LA, 70130.0",WHD,"(504)-589-6171



",,600 SOUTH MAESTRI PLACE,NEW ORLEANS,LA,70130.0,29.9475171,-90.0704498,
100.0,101.0,"1001 NORTH 23RD STREET, BATON ROUGE, LA, 70802.0",VETS,"(225)-389-0339



",(225)-342-3152,1001 NORTH 23RD STREET,BATON ROUGE,LA,70802.0,30.4579478,-91.1657356,
101.0,102.0,"5100 VILLAGE WALK, CONVINGTON, LA, 70433.0",OALJ,"(985)-809-5173



",(985)-893-7351,5100 VILLAGE WALK, CONVINGTON,LA,70433.0,30.4778249,-90.0920444,
102.0,103.0,"600 SOUTH MAESTRI PLACE, NEW ORLEANS, LA, 70130.0",OLMS,"(504)-589-6174



",,600 SOUTH MAESTRI PLACE,NEW ORLEANS,LA,70130.0,29.9475171,-90.0704498,
103.0,104.0,"382 HARLOW STREET, BANGOR, ME, 4401.0",OSHA,"(207)-941-8177



",(207)-941-8179,382 HARLOW STREET,BANGOR,ME,4401.0,44.8055505,-68.7744272,
104.0,105.0,"40 WESTERN AVENUE, AUGUSTA, ME, 4330.0",OSHA,"(207)-626-9160



",(207)-622-8213,40 WESTERN AVENUE,AUGUSTA,ME,4330.0,44.310975,-69.7837465,
105.0,106.0,"5 MOLLISON WAY, STEAST 104, LEWISTON, ME, 4240.0",VETS,"(207)-753-9090



",(207)-783-5304,5 MOLLISON WAY,LEWISTON,ME,4240.0,44.123716,-70.1996659,
106.0,107.0,"1335 EAST-WEST HWY, SILVER SPRING, MD, 20910.0",EBSA,"(202)-693-8700



",(202)-693-8736,1335 EAST-WEST HWY, SILVER SPRING,MD,20910.0,38.9933883,-77.0315732,
107.0,108.0,"1099 WINTERSON ROAD, LINTHICUM, MD, 21090.0",OSHA,"(410)-865-2055

(410)-865-2056

",(410)-865-2068,1099 WINTERSON ROAD, LINTHICUM,MD,21090.0,39.2050353,-76.6767743,
108.0,109.0,"103 SOUTH GAY STREET, BALTIMORE, MD, 21202.0",WHD,"(410)-962-6211



",,103 SOUTH GAY STREET,BALTIMORE,MD,21202.0,39.2875397,-76.608596,
109.0,110.0,"6525 BELCREST ROAD, HYATTSVILLE, MD, 20782.0",WHD,"(410)-962-6211



",,6525 BELCREST ROAD, HYATTSVILLE,MD,20782.0,38.969569,-76.953156,
110.0,111.0,"POST OFFICE BUILDING, STE 114, SALISBURY, MD, 21803.0",WHD,"(410)-962-6211



",,POST OFFICE BUILDING,SALISBURY,MD,21803.0,38.294073,-75.690774,
111.0,112.0,"1100 NORTH EUTAW STREET, BALTIMORE, MD, 21201.0",VETS,"(410)-767-2110

(410)-767-2111

",(410)-333-5136,1100 NORTH EUTAW STREET,BALTIMORE,MD,21201.0,39.3022741,-76.6248692,
112.0,113.0,"14 NORTH POTOMAC STREET, STE 100, HAGERSTOWN, MD, 21740.0",VETS,"(301)-393-8253



",(301)-393-2654,14 NORTH POTOMAC STREET,HAGERSTOWN,MD,21740.0,39.642218,-77.7194414,
113.0,114.0,"15 NEW SUDBURY STREET, BOSTON, MA, 2203.0","OPA, ALJ, WB, BLS, WHD, OFCCP, OLMS, OWCP, ETA, OA, JC, MSHA, OASAM, OIG, OSHA, EBSA, SOL, VETS","(617)-565-9600



",(617)-565-9666,15 NEW SUDBURY STREET,BOSTON,MA,2203.0,NA,NA,
114.0,115.0,"138 RIVER ROAD, ANDOVER, MA, 1810.0",OSHA,"(978)-837-4460



",(978)-837-4455,138 RIVER ROAD, ANDOVER,MA,1810.0,42.690849,-71.210585,
115.0,116.0,"639 GRANITE STREET, 4TH FLOOR, 4TH FLOOR BRAINTREE, MA, 2184.0",OSHA,"(617)-565-6924



",(617)-565-6923,639 GRANITE STREET, 4TH FLOOR BRAINTREE,MA,2184.0,42.209873,-71.021621,
116.0,117.0,"1441 MAIN STREET, SPRINGFIELD, MA, 1103.0",OSHA,"(413)-785-0123



",(413)-785-0136,1441 MAIN STREET,SPRINGFIELD,MA,1103.0,42.1031799,-72.5904228,
117.0,118.0,"104 DEAN STREET, TAUNTON, MA, 2780.0",VETS,"(508)-821-9106



",,104 DEAN STREET,TAUNTON,MA,2780.0,41.9050553,-71.0749527,
118.0,119.0,"19 STANIFORD STREET, 1ST FLOOR, BOSTON, MA, 2114.0",VETS,"(617)-626-6699



",(617)-727-2330,19 STANIFORD STREET,BOSTON,MA,2114.0,42.3620373,-71.0635527,
119.0,120.0,"211 WEST FORT STREET, DETROIT, MI, 48226.0","EBSA, WHD","(313)-226-7450



",(313)-226-4257,211 WEST FORT STREET, DETROIT,MI,48226.0,42.3294776,-83.0491958,
120.0,121.0,"315 WEST ALLEGAN STREET, LANSING, MI, 48933.0",OSHA,"(517)-487-4996



",(517)-487-4997,315 WEST ALLEGAN STREET, LANSING,MI,48933.0,42.732087,-84.556241,
121.0,122.0,"800 MONROE AVENUE, NORTH WEST, GRAND RAPIDS, MI, 49503.0",WHD,"(616)-456-2004



",,"800 MONROE AVENUE, NORTH WEST",GRAND RAPIDS,MI,49503.0,42.9768973,-85.6718133,
122.0,123.0,"331 SECOND AVENUE SOUTH, TRI-TECH CENTER, MINNEAPOLIS, MN, 55401.0",WHD,"(612)-370-3341



",,331 SECOND AVENUE SOUTH,MINNEAPOLIS,MN,55401.0,44.9836543,-93.2693572,
123.0,124.0,"1ST BANK BUILDING, ST PAUL, MN, 55101.0",VETS,"(651)-259-7511



",(651)-282-2711,1ST BANK BUILDING,ST PAUL,MN,55101.0,44.9468547,-93.0908888,
124.0,125.0,"515 WEST 1ST STREET, #333, DULUTH, MN, 55802.0",MSHA,"



",,515 WEST 1ST STREET,DULUTH,MN,55802.0,46.7826122,-92.106712,
